shift,distance_in,target_freq,detected_freq,frequency_error,rms,peak,target_power,dominant_power,filename
13,1,100,89.48863636363637,10.511363636363626,242.2702508316684,735.1353426846599,5425.019551765699,3788896.053127969,.\13\1 inch\test_1in_100hz.wav
13,1,12800,53.01966292134832,12746.980337078652,47.567376097618435,395.3181618679773,86.19642198871952,199235.77211799778,.\13\1 inch\test_1in_12800hz.wav
13,1,1600,2864.1690340909095,1264.1690340909095,18520.94045865111,38945.50821200284,134924.2468036605,184788147.4321362,.\13\1 inch\test_1in_1600hz.wav
13,1,20000,53.08948863636364,19946.910511363636,42.79799449137942,168.29177024147793,66.54493839820316,132286.83406396423,.\13\1 inch\test_1in_20000hz.wav
13,1,200,178.97727272727275,21.022727272727252,1049.244430849823,1771.868607954546,1973.0101581209526,16217575.754230652,.\13\1 inch\test_1in_200hz.wav
13,1,3200,2863.9914772727275,336.0085227272725,13715.072289547583,45897.208939985794,25547.02325133395,163547692.9083614,.\13\1 inch\test_1in_3200hz.wav
13,1,400,357.9545454545455,42.045454545454504,4946.300559694905,7570.45068359375,3824.267507897845,68621734.99466474,.\13\1 inch\test_1in_400hz.wav
13,1,6400,2271.3068181818185,4128.693181818182,310.49185666830965,1387.94473544034,59.39403446315555,3080481.511254,.\13\1 inch\test_1in_6400hz.wav
13,1,800,716.0866477272729,83.91335227272714,9413.503709931618,13717.258478338068,5935.2888483495535,130791068.61295466,.\13\1 inch\test_1in_800hz.wav
13,12,100,89.48863636363637,10.511363636363626,52.01902104813699,273.49010120738603,10991.269028252254,487654.67751388025,.\13\12 inch\test_12in_100hz.wav
13,12,12800,52.91193181818183,12747.088068181818,39.462930378413105,248.01380504261397,47.62765146103993,116257.55915961057,.\13\12 inch\test_12in_12800hz.wav
13,12,1600,1432.057584269663,167.94241573033696,3460.5103216483476,5932.361218398877,493.77134497936305,49458122.3778221,.\13\12 inch\test_12in_1600hz.wav
13,12,20000,52.91193181818183,19947.08806818182,41.74551293749101,153.35755504261397,2.661151609512217,211566.7029563687,.\13\12 inch\test_12in_20000hz.wav
13,12,200,178.97727272727275,21.022727272727252,96.71248094262096,2182.1513671875,8686.34906449497,1271740.290825606,.\13\12 inch\test_12in_200hz.wav
13,12,3200,2864.1690340909095,335.83096590909054,1347.6871181386377,2931.828169389204,484.3247967005439,19405971.47484391,.\13\12 inch\test_12in_3200hz.wav
13,12,400,357.9545454545455,42.045454545454504,205.47806146476768,565.424849076704,329.7916257363833,2707080.9372986164,.\13\12 inch\test_12in_400hz.wav
13,12,6400,2271.839488636364,4128.160511363636,42.13558165086574,155.35715553977207,9.738910712421784,293600.3874602975,.\13\12 inch\test_12in_6400hz.wav
13,12,800,716.2642045454546,83.73579545454538,1417.667453996308,2144.472523082386,302.28822338807197,19238012.994360972,.\13\12 inch\test_12in_800hz.wav
13,18,100,89.48863636363637,10.511363636363626,56.83861384890381,204.48015802556802,9309.629960979517,334847.4296826541,.\13\18 inch\test_18in_100hz.wav
13,18,12800,28.231534090909093,12771.76846590909,93.60478850328823,339.97660688920405,144.49838693114998,192161.5761977379,.\13\18 inch\test_18in_12800hz.wav
13,18,1600,1432.1732954545457,167.82670454545428,2142.7947719266817,3891.305708451704,403.76550913002995,33872927.654812425,.\13\18 inch\test_18in_1600hz.wav
13,18,20000,27.69886363636364,19972.301136363636,55.87179428997725,283.32816938920405,57.903711161414776,90245.76192821495,.\13\18 inch\test_18in_20000hz.wav
13,18,200,178.97727272727275,21.022727272727252,98.91540478105267,307.45556640625,7166.399808217188,1360961.4238989765,.\13\18 inch\test_18in_200hz.wav
13,18,3200,2863.9914772727275,336.0085227272725,1033.057071913837,1959.138671875,251.29311613137767,14376862.755511114,.\13\18 inch\test_18in_3200hz.wav
13,18,400,357.97050561797755,42.02949438202245,303.7054642645142,623.1631408005615,1524.6685377703047,4042366.67320342,.\13\18 inch\test_18in_400hz.wav
13,18,6400,52.73437500000001,6347.265625,61.54110775546474,228.98916903409008,39.43524748590153,119478.51572015423,.\13\18 inch\test_18in_6400hz.wav
13,18,800,716.0866477272729,83.91335227272714,1283.4074021649342,2086.869806463068,823.6447186364281,18297456.729011063,.\13\18 inch\test_18in_800hz.wav
13,24,100,89.48863636363637,10.511363636363626,43.582069877094185,156.74502840909008,6926.076058731166,215240.82874939076,.\13\24 inch\test_24in_100hz.wav
13,24,12800,27.69886363636364,12772.301136363636,48.129268147112164,289.2998046875,163.69681593598852,93149.73279068132,.\13\24 inch\test_24in_12800hz.wav
13,24,1600,1431.9957386363637,168.00426136363626,2639.5970810075933,4109.281294389204,1822.472561528499,39310381.91307565,.\13\24 inch\test_24in_1600hz.wav
13,24,20000,53.01966292134832,19946.98033707865,39.130168754758095,220.85481039325896,44.817336374679144,135913.50923696478,.\13\24 inch\test_24in_20000hz.wav
13,24,200,178.97727272727275,21.022727272727252,120.28131460599579,418.4408291903401,1939.4751668342276,1610019.8078890548,.\13\24 inch\test_24in_200hz.wav
13,24,3200,2864.3465909090914,335.65340909090855,1035.0956840508557,1865.559303977272,612.617355448845,15670056.825396586,.\13\24 inch\test_24in_3200hz.wav
13,24,400,357.97050561797755,42.02949438202245,218.50355724496876,475.758426966293,2664.956975178295,3280244.3193696593,.\13\24 inch\test_24in_400hz.wav
13,24,6400,2272.549715909091,4127.450284090909,39.3122753748175,165.11652166193198,103.76703203258512,101906.72009162561,.\13\24 inch\test_24in_6400hz.wav
13,24,800,715.909090909091,84.09090909090901,375.7600098058808,855.991033380682,540.2860886834009,5798316.133618736,.\13\24 inch\test_24in_800hz.wav
13,30,100,32.84801136363637,67.15198863636363,58.32115951312981,207.36776455965992,5014.568785380925,227737.29787546332,.\13\30 inch\test_30in_100hz.wav
13,30,12800,34.80113636363637,12765.198863636364,81.39374948906567,364.465154474432,114.90871078314376,232599.87161856514,.\13\30 inch\test_30in_12800hz.wav
13,30,1600,1432.1732954545457,167.82670454545428,625.9401257054685,1537.520063920454,1036.7372620393335,8543675.29216511,.\13\30 inch\test_30in_1600hz.wav
13,30,20000,31.960227272727277,19968.039772727272,49.99194521911788,182.98610617897793,49.45961602182251,113835.85008228935,.\13\30 inch\test_30in_20000hz.wav
13,30,200,178.97727272727275,21.022727272727252,149.85446209914548,544.94580078125,4218.722737033559,1693092.8570563123,.\13\30 inch\test_30in_200hz.wav
13,30,3200,2864.1690340909095,335.83096590909054,1037.7551922915018,1742.028364701704,100.49365605903792,15308056.254419457,.\13\30 inch\test_30in_3200hz.wav
13,30,400,357.97050561797755,42.02949438202245,293.501875151773,593.6250438904499,984.3557135361609,4517036.837108782,.\13\30 inch\test_30in_400hz.wav
13,30,6400,35.33380681818182,6364.666193181818,64.20173718965107,372.5067471590901,67.05161012415374,169213.32719703612,.\13\30 inch\test_30in_6400hz.wav
13,30,800,716.0866477272729,83.91335227272714,661.4968231650604,1247.280450994318,313.86162341705494,10321946.953130547,.\13\30 inch\test_30in_800hz.wav
13,36,100,38.352272727272734,61.647727272727266,67.69595088687657,270.57896839488603,14935.764440813075,184558.26416312382,.\13\36 inch\test_36in_100hz.wav
13,36,12800,52.73437500000001,12747.265625,53.69085371053691,192.29203657670405,9.502957753411465,134029.6336859591,.\13\36 inch\test_36in_12800hz.wav
13,36,1600,1432.1732954545457,167.82670454545428,2165.8904898180567,4151.886851917614,532.1530580656122,30869736.411237665,.\13\36 inch\test_36in_1600hz.wav
13,36,20000,37.64204545454546,19962.357954545456,55.10258282719523,184.07492897727207,47.2463060241098,264276.3269154542,.\13\36 inch\test_36in_20000hz.wav
13,36,200,178.97727272727275,21.022727272727252,108.09229446470044,302.11243785511397,3440.220389888382,1448861.9660754367,.\13\36 inch\test_36in_200hz.wav
13,36,3200,2864.524147727273,335.475852272727,1204.9048684934712,2193.2451171875,647.3882415524572,14503879.7375468,.\13\36 inch\test_36in_3200hz.wav
13,36,400,357.9545454545455,42.045454545454504,396.9231919522622,715.5851828835221,2032.4927991643406,5860419.187975774,.\13\36 inch\test_36in_400hz.wav
13,36,6400,2271.3068181818185,4128.693181818182,64.6982401861481,228.53617720170405,25.821033320426068,206093.72550183407,.\13\36 inch\test_36in_6400hz.wav
13,36,800,716.0866477272729,83.91335227272714,853.0058895266011,1566.651988636364,932.6432864997356,12843397.74679493,.\13\36 inch\test_36in_800hz.wav
13,4,100,89.48863636363637,10.511363636363626,86.8495203787452,271.786931818182,19037.9555372462,1258345.2056622368,.\13\4 inch\test_4in_100hz.wav
13,4,12800,53.01966292134832,12746.980337078652,65.9067125202853,317.5055301966295,14.263002362629777,112616.80194789532,.\13\4 inch\test_4in_12800hz.wav
13,4,1600,1431.6406250000002,168.35937499999977,8875.9809757592,13478.429421164772,6897.181523271942,131952419.23142004,.\13\4 inch\test_4in_1600hz.wav
13,4,20000,52.91193181818183,19947.08806818182,41.10198047020225,361.45703125,68.96663988550699,109513.81698782495,.\13\4 inch\test_4in_20000hz.wav
13,4,200,178.97727272727275,21.022727272727252,270.24520815643285,564.06689453125,3859.517166726417,4164926.0585756944,.\13\4 inch\test_4in_200hz.wav
13,4,3200,2863.2812500000005,336.71874999999955,5229.525939222764,7935.470925071022,806.817002951294,78549694.22849363,.\13\4 inch\test_4in_3200hz.wav
13,4,400,357.9545454545455,42.045454545454504,1065.7372281228968,1773.34912109375,978.6714065860122,16595262.730097868,.\13\4 inch\test_4in_400hz.wav
13,4,6400,2272.549715909091,4127.450284090909,62.63000590375972,593.670854048296,14.1968090349892,188976.53370181183,.\13\4 inch\test_4in_6400hz.wav
13,4,800,715.909090909091,84.09090909090901,2818.1927980168975,4206.69229403409,2000.7414830404177,43884755.74326838,.\13\4 inch\test_4in_800hz.wav
13,8,100,89.48863636363637,10.511363636363626,56.56676866181891,444.0537109375,3941.570579798953,666446.6590017898,.\13\8 inch\test_8in_100hz.wav
13,8,12800,52.91193181818183,12747.088068181818,32.63964252100949,123.96151455965992,1.156857771502473,105177.26501459598,.\13\8 inch\test_8in_12800hz.wav
13,8,1600,1432.1732954545457,167.82670454545428,4080.6853004966674,6606.187189275568,1292.5768982137186,61825055.76939166,.\13\8 inch\test_8in_1600hz.wav
13,8,20000,30.53977272727273,19969.460227272728,66.23776189934864,442.5296963778401,51.19463072536382,124458.72518628184,.\13\8 inch\test_8in_20000hz.wav
13,8,200,178.97727272727275,21.022727272727252,125.89523115359819,360.19553444602207,1164.7543643726708,1760023.0602383655,.\13\8 inch\test_8in_200hz.wav
13,8,3200,2864.1690340909095,335.83096590909054,1525.4515806514835,2825.438654119318,348.87661504721905,18921683.15489778,.\13\8 inch\test_8in_3200hz.wav
13,8,400,357.9545454545455,42.045454545454504,503.4066693078733,1008.9224520596599,993.6380605346525,7196735.602998353,.\13\8 inch\test_8in_400hz.wav
13,8,6400,2272.3721590909095,4127.62784090909,58.088435707114634,380.76393821022793,2.485574943721531,400894.5726503705,.\13\8 inch\test_8in_6400hz.wav
13,8,800,715.9410112359551,84.0589887640449,1324.8574044954728,2391.3258426966295,207.37692758223199,18624087.955985777,.\13\8 inch\test_8in_800hz.wav
14,1,100,89.52702702702703,10.472972972972968,146.2000138481087,862.9968987542234,18145.65974717022,3178354.315424279,.\14\1 inch\test_1in_100hz.wav
14,1,12800,30.565693430656932,12769.434306569343,32.87105222017116,305.1510749315694,79.41778089514992,123895.32276675486,.\14\1 inch\test_1in_12800hz.wav
14,1,1600,1432.1073008849557,167.89269911504425,13007.135312756818,20230.457359651547,7588.971397520347,228638864.0033957,.\14\1 inch\test_1in_1600hz.wav
14,1,20000,30.487804878048784,19969.51219512195,33.23369841422669,395.8915459857726,38.18624496616576,116426.72692884675,.\14\1 inch\test_1in_20000hz.wav
14,1,200,179.0178571428571,20.98214285714289,588.2341619596305,1071.6007254464284,16750.851958598418,16523450.218440313,.\14\1 inch\test_1in_200hz.wav
14,1,3200,2865.3336864406774,334.6663135593226,5879.302817739738,8647.733216366525,208.14395424592772,113777379.87485373,.\14\1 inch\test_1in_3200hz.wav
14,1,400,358.0994897959184,41.90051020408163,2842.0019903724246,4848.733604379252,3948.472561972496,73000874.35315944,.\14\1 inch\test_1in_400hz.wav
14,1,6400,2270.1684397163117,4129.831560283688,246.76872190760827,567.3458277925529,73.86652949269592,3433823.4957238743,.\14\1 inch\test_1in_6400hz.wav
14,1,800,716.125,83.875,3798.339122071626,5798.177234375,7587.159631383742,75662042.76220214,.\14\1 inch\test_1in_800hz.wav
14,12,100,89.48863636363637,10.511363636363626,40.62337171367052,703.496027166193,7154.9748994672045,224163.61408907475,.\14\12 inch\test_12in_100hz.wav
14,12,12800,52.73437500000001,12747.265625,26.61069620084263,167.23479669744302,3.9233867919452905,67627.26454559094,.\14\12 inch\test_12in_12800hz.wav
14,12,1600,1432.5284090909092,167.47159090909076,1826.1084878925906,2991.653409090909,1517.9627747866275,26213078.723978374,.\14\12 inch\test_12in_1600hz.wav
14,12,20000,26.455965909090914,19973.544034090908,27.060160625108878,117.78386896306802,47.56462709437437,58757.301823597765,.\14\12 inch\test_12in_20000hz.wav
14,12,200,179.15482954545456,20.84517045454544,68.9791871207696,240.68266157670496,3253.9590046398603,643243.5353162556,.\14\12 inch\test_12in_200hz.wav
14,12,3200,2865.2343750000005,334.76562499999955,1161.7096009713766,1957.957741477273,303.22529055483744,15260593.848780496,.\14\12 inch\test_12in_3200hz.wav
14,12,400,358.1321022727273,41.86789772727269,317.3274633281134,651.598544034091,1509.6769243493716,4979678.076393484,.\14\12 inch\test_12in_400hz.wav
14,12,6400,2269.5312500000005,4130.46875,28.70264945381124,203.50468306107996,61.25088111672312,75164.76211749637,.\14\12 inch\test_12in_6400hz.wav
14,12,800,716.2642045454546,83.73579545454538,320.0906625009178,559.582985617898,1527.7267883721063,4518597.1552455425,.\14\12 inch\test_12in_800hz.wav
14,18,100,89.48863636363637,10.511363636363626,8449.062451261614,38759.67294034091,1221988.8491514851,32101514.47780606,.\14\18 inch\test_18in_100hz.wav
14,18,12800,20.419034090909093,12779.58096590909,35.99624713423981,153.58607066761397,70.12967694523377,109438.02405132445,.\14\18 inch\test_18in_12800hz.wav
14,18,1600,1432.5284090909092,167.47159090909076,1404.780795673996,2406.209050958807,435.4439137429054,18623404.66761653,.\14\18 inch\test_18in_1600hz.wav
14,18,20000,30.53977272727273,19969.460227272728,27.83851322077784,92.9716796875,77.81566098786521,63443.626691594516,.\14\18 inch\test_18in_20000hz.wav
14,18,200,179.15482954545456,20.84517045454544,51.505484300719665,173.39264470880698,2342.346108419643,560624.2711473322,.\14\18 inch\test_18in_200hz.wav
14,18,3200,2864.879261363637,335.12073863636306,816.7322703621356,1407.260564630682,185.42311435238804,10567861.376499424,.\14\18 inch\test_18in_3200hz.wav
14,18,400,358.1321022727273,41.86789772727269,326.3220920135969,572.334517045455,1878.5213856423136,5125943.598707763,.\14\18 inch\test_18in_400hz.wav
14,18,6400,2269.886363636364,4130.113636363636,32.44553067055224,128.812832919034,46.407028796811574,103748.72177776344,.\14\18 inch\test_18in_6400hz.wav
14,18,800,716.2642045454546,83.73579545454538,413.26280309970514,711.1484375,1989.5808115655395,6434110.305613828,.\14\18 inch\test_18in_800hz.wav
14,24,100,102.45028409090911,2.4502840909091077,35.16306264161294,197.59055397727298,3611.0982336359502,111503.83808982473,.\14\24 inch\test_24in_100hz.wav
14,24,12800,52.73437500000001,12747.265625,39.13844017008688,136.96357865767004,52.854550083827235,91450.77856563865,.\14\24 inch\test_24in_12800hz.wav
14,24,1600,1432.5284090909092,167.47159090909076,1221.563577528992,2036.311301491477,78.46856136191077,18430023.960585363,.\14\24 inch\test_24in_1600hz.wav
14,24,20000,34.09090909090909,19965.909090909092,29.812559200608252,137.29578746448897,9.217708439168746,76856.57015958591,.\14\24 inch\test_24in_20000hz.wav
14,24,200,179.15482954545456,20.84517045454544,50.15982202079258,209.48583984375,1450.9729927155431,583065.7808647155,.\14\24 inch\test_24in_200hz.wav
14,24,3200,2865.0568181818185,334.94318181818153,516.9061387220065,999.629128196023,282.05402979707657,7413399.403956658,.\14\24 inch\test_24in_3200hz.wav
14,24,400,358.1321022727273,41.86789772727269,267.63989459405377,545.789595170455,1109.189166053614,4165601.49054722,.\14\24 inch\test_24in_400hz.wav
14,24,6400,2269.1761363636365,4130.823863636364,32.30233459854165,114.86285955255698,5.225980232356051,139041.17914550786,.\14\24 inch\test_24in_6400hz.wav
